respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.08875187056266798,0.2512943476678036
26708,0.05174902281441961,0.04857674624632031
26709,0.4802029523928765,0.6377220325354408
26710,0.5096500425364351,0.8820305399118068
26711,0.16831836516448279,0.45093668443748725
26712,0.4406713248562547,0.9142023940368225
26713,0.36343258231850223,0.6153586458665071
26714,0.14218764211243898,0.21039507002176974
26715,0.03828998538953993,0.1460707552430029
26716,0.23057928469473826,0.8955209941172038
26717,0.015777848651198946,0.3397909298727509
26718,0.21158272180673027,0.4878023549598041
26719,0.07509375559051516,0.9095936816231224
26720,0.08784466845028018,0.1664598976065575
26721,0.4361360092720857,0.5051736523372606
26722,0.05051667995585982,0.07229567001975451
26723,0.6863086621313595,0.8709909079588656
26724,0.12275146222123753,0.6408492231457532
26725,0.037906688348103276,0.09140489771956896
26726,0.01055340484211818,0.028437034959090172
26727,0.3465052514126725,0.839529738517186
26728,0.20424664582926397,0.5380200348857103
26729,0.07229139418313578,0.33365544277876613
26730,0.030325992721335616,0.16946364611011172
26731,0.022143139938986093,0.34465792813912977
26732,0.08403002907117485,0.072339978204276
26733,0.9195508914868442,0.9562333241378513
26734,0.8514233714900479,0.391908756980867
26735,0.12950411997686362,0.44080086072047603
26736,0.08047382072089446,0.16752473926219635
26737,0.08076364254666688,0.0849611967765692
26738,0.6643914204740059,0.8613660394207778
26739,0.09610900464129997,0.23273606609799105
26740,0.16858307943562922,0.13616910879941738
26741,0.19939349299850267,0.9102659385552603
26742,0.15534066946311637,0.42311955706807286
26743,0.04163992507067975,0.48354194394044003
26744,0.04775345721978632,0.5776147637616305
26745,0.12408524682949588,0.935542226567551
26746,0.09556065074512085,0.2858157275898099
26747,0.0976661875793612,0.25084096761302616
26748,0.12456188995164041,0.07573022227090379
26749,0.06780422224104797,0.6885312532378294
26750,0.6722212633277233,0.9325825055983178
26751,0.2642420868642139,0.6875901284080254
26752,0.01981125286803818,0.016163128021582897
26753,0.2144446738575754,0.6779971698689303
26754,0.11643800585378468,0.5716506124471372
26755,0.08851114808791263,0.35357974679752285
26756,0.016890362519242013,0.03333982251304514
26757,0.49821317344517546,0.554545259083851
26758,0.6338328694491342,0.8529958640680685
26759,0.035594251376637236,0.20327022677630263
26760,0.012879825802444253,0.026134351214362132
26761,0.16009266432448493,0.6232786445500604
26762,0.15914532773199408,0.85523346031799
26763,0.9040493279908864,0.9721911946117232
26764,0.9220903352227,0.9601551779343906
26765,0.030286465610196312,0.712348876543354
26766,0.16599854021548308,0.17627118096726213
26767,0.7966910920200913,0.728073374309971
26768,0.010695577772907385,0.4139011555015996
26769,0.1447157469827434,0.17550146107078574
26770,0.12257020112286518,0.661306527413343
26771,0.07316872025641079,0.23576090386676166
26772,0.0887504555696469,0.38562725297652234
26773,0.01135619717546155,0.3889094722062536
26774,0.03183330681372755,0.4733818482727549
26775,0.1096315557696864,0.49029181144595774
26776,0.3159150026019565,0.2835265368402265
26777,0.13757260536918361,0.9299602912338853
26778,0.14720723311134498,0.1732406918432831
26779,0.11077164849695904,0.5577535064044914
26780,0.1484863402719963,0.9568608718215537
26781,0.043683710634631626,0.4987881489419708
26782,0.039106168216107566,0.26760295159713704
26783,0.07992008547460686,0.39525012343440613
26784,0.3747989256366033,0.8537808693271578
26785,0.3392775709828471,0.5585575608585508
26786,0.12523667558638463,0.2766479410230264
26787,0.10064947393469528,0.5132036174192952
26788,0.13761693268759004,0.9502242100531872
26789,0.01054068718734231,0.25164812301069867
26790,0.0684645138108824,0.32970130161952754
26791,0.09613701791339013,0.18978570682237073
26792,0.19789560569328135,0.7377867158895048
26793,0.12581962282827067,0.9057227266018963
26794,0.7895669444577993,0.8982643923012136
26795,0.037670270681064315,0.9340548473805668
26796,0.06018420442428686,0.06400840118966933
26797,0.10119947650755129,0.597335322142227
26798,0.1646855557949723,0.1857238416209708
26799,0.2234364649455183,0.1798980958027164
26800,0.032507519520984345,0.912784030206528
26801,0.23403696738576785,0.3682849002420801
26802,0.11551505860704533,0.19381308296831085
26803,0.052935826968132885,0.15862751016067858
26804,0.08021262441539054,0.1994912156660389
26805,0.08974053934380023,0.2690664861789468
26806,0.08328462323041418,0.917691734104922
